lemma,manual_lemma,unique_candidates,pos,lemma_freq,base_freq,true_lemma,true_base
Sozialisation,,sozialisieren,VVINF,1346,100,1,1.0
Spekulation,,spekulieren,VVINF,6757,1604,1,1.0
Spezifikation,,spezifikieren,VVINF,2912,0,0,
Stabilisation,,stabilisieren,VVINF,68,1762,1,1.0
Stagnation,,stagnieren,VVINF,1054,183,1,1.0
Station,,stieren,VVINF,26150,170,1,1.0
Stimulation,,stimulieren,VVINF,1159,483,1,1.0
Stipulation,,stipulieren,VVINF,37,0,0,
Sublimation,,sublimieren,VVINF,68,31,1,1.0
Subluxation,,subluxieren,VVINF,30,0,0,
Subrotation,,subrotieren,VVINF,0,0,0,
Synchronisation,,synchronisieren,VVINF,2049,899,1,1.0
Teleportation,,teleportieren,VVINF,120,0,0,
Titration,,titrieren,VVINF,111,0,0,
Transformation,,transformieren,VVINF,3572,488,1,1.0
Translation,,translieren,VVINF,607,0,0,
Transliteration,,transliterieren,VVINF,109,0,0,
Translokation,,translokieren,VVINF,93,0,0,
Transmutation,,transmutieren,VVINF,86,0,0,
Transpiration,,transpirieren,VVINF,76,10,1,1.0
Transplantation,,transplantieren,VVINF,1456,72,1,1.0
Transportation,,transportieren,VVINF,221,3977,1,1.0
Überinterpretation,,überinterpretieren,VVINF,47,23,1,1.0
Umorganisation,,umorganisieren,VVINF,130,18,1,1.0
Unterkalkulation,,unterkalkulieren,VVINF,0,0,0,
Variation,,variieren,VVINF,5713,1935,1,1.0
Vegetation,,vegetieren,VVINF,2561,83,1,1.0
Ventilation,,ventilieren,VVINF,284,8,1,1.0
Verifikation,,verifikieren,VVINF,250,0,0,
Vibration,,vibrieren,VVINF,1974,253,1,1.0
Vinifikation,,vinifikieren,VVINF,31,0,0,
Visitation,,visitieren,VVINF,308,0,0,
Visualisation,,visualisieren,VVINF,29,554,1,1.0
Voraggregation,,voraggregieren,VVINF,0,0,0,
Vorinformation,,vorinformieren,VVINF,112,0,0,
Vorkalkulation,,vorkalkulieren,VVINF,54,0,0,
Voroperation,,voroperieren,VVINF,35,0,0,
Vorqualifikation,,vorqualifikieren,VVINF,35,0,0,
Zelebration,,zelebrieren,VVINF,19,426,1,1.0
Zirkulation,,zirkulieren,VVINF,580,228,1,1.0
Zitation,,zitieren,VVINF,124,2757,1,1.0
Zivilisation,,zivilisieren,VVINF,4839,47,1,1.0
