sfx,iter,factor,sample_size,n_types,entropy
-schaft,37,0.0625,1200,71,4.539426270486995
-schaft,38,1.0,19197,140,4.509069070315272
-schaft,38,0.5,9599,123,4.489069445162665
-schaft,38,0.25,4800,109,4.497564955733818
-schaft,38,0.125,2400,96,4.523318028791249
-schaft,38,0.0625,1200,71,4.403362845095844
-schaft,39,1.0,19197,136,4.525601176254518
-schaft,39,0.5,9599,116,4.504818906766336
-schaft,39,0.25,4800,106,4.506265452760381
-schaft,39,0.125,2400,89,4.506147101607872
-schaft,39,0.0625,1200,73,4.504264834570269
-schaft,40,1.0,19197,138,4.509977406278453
-schaft,40,0.5,9599,119,4.497825412564942
-schaft,40,0.25,4800,112,4.502848503564004
-schaft,40,0.125,2400,81,4.4362309551118395
-schaft,40,0.0625,1200,69,4.434684057077084
-schaft,41,1.0,19197,141,4.509766732686414
-schaft,41,0.5,9599,125,4.493239316389024
-schaft,41,0.25,4800,102,4.493312318713908
-schaft,41,0.125,2400,94,4.5247747152326685
-schaft,41,0.0625,1200,71,4.407150401094028
-schaft,42,1.0,19197,138,4.50797945837337
-schaft,42,0.5,9599,125,4.513909967529076
-schaft,42,0.25,4800,108,4.516145638521861
-schaft,42,0.125,2400,90,4.542157588676535
-schaft,42,0.0625,1200,79,4.477811543608825
-schaft,43,1.0,19197,133,4.4886683474833715
-schaft,43,0.5,9599,120,4.497229676358874
-schaft,43,0.25,4800,106,4.499335697833328
-schaft,43,0.125,2400,85,4.4261129244118065
-schaft,43,0.0625,1200,76,4.420805378021137
-schaft,44,1.0,19197,143,4.499606795246911
-schaft,44,0.5,9599,124,4.518060525525545
-schaft,44,0.25,4800,107,4.495408851856621
-schaft,44,0.125,2400,92,4.493391560024415
-schaft,44,0.0625,1200,74,4.479191558811279
-schaft,45,1.0,19197,138,4.489004883054422
-schaft,45,0.5,9599,121,4.488608172718155
-schaft,45,0.25,4800,103,4.465551886911985
-schaft,45,0.125,2400,91,4.490664242133235
-schaft,45,0.0625,1200,72,4.544738183300435
-schaft,46,1.0,19197,139,4.496089252799699
-schaft,46,0.5,9599,119,4.464073726656985
-schaft,46,0.25,4800,105,4.495136492504004
-schaft,46,0.125,2400,86,4.43066609969278
-schaft,46,0.0625,1200,66,4.492144473356052
-schaft,47,1.0,19197,138,4.492613974170689
-schaft,47,0.5,9599,124,4.480339236203213
-schaft,47,0.25,4800,105,4.451155531870147
-schaft,47,0.125,2400,89,4.466247148797287
